Iteración,NA's Arribo,Arribo,T. de Llegada,NA's Distribución,T. Distribución,Inicio Distribución,Fin Distribución,NA's Servidor 1,Inicio Servidor 1,Fin Servidor 1,NA's Servidor 2,Inicio Servidor 2,Fin Servidor 2,NA's Servidor 3,Inicio Servidor 3,Fin Servidor 3,NA's Servidor 4,Inicio Servidor 4,Fin Servidor 4,NA's Servidor 5,Inicio Servidor 5,Fin Servidor 5,Cola Distribución,Cola Servidor,Cola Total,Promedio Móvil,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,Replica 9,Replica 10,Replica 11,Replica 12,Replica 13,Replica 14,Replica 15
11,"[0.364644, 0.26313]",0.33355189021945636,6.204083064740962,"[0.734948, 0.190677]",0.3614301157779726,6.414159522046405,6.775589637824377,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.210823, 0.332714]",7.912474111732742,8.452384243430405,0.21007645730544322,1.1368844739083643,1.3469609312138076,0.2749172681919003,0.06333622600659677,0.047423558471207355,0.18859465387270402,0.0,0.026911961501858463,0.0668996004572223,0.09364612911476332,0.07930568687070991,0.03223197343720492,0.48847875744352454,0.025696148185755163,0.02175466258307036,0.10058136471074412,0.6176903951710329,0.2749172681919003
12,"[0.951615, 0.51407, 0.688789, 0.124165]",1.3514758989679077,7.55555896370887,"[0.337741, 0.935627]",0.18526706610657084,7.55555896370887,7.74082602981544,,0.0,0.0,"[0.219344, 0.743465]",8.3123497766356,8.911769201111255,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.5715237468201595,0.5715237468201595,0.29963447474425525,0.06857814450303924,0.044747960303874956,0.17287843271664535,0.0027746586228552714,0.024669298043370258,0.06132463375245378,0.08584228502186637,0.07269687963148408,0.02954597565077118,0.5066837589369796,0.03209589102151034,0.03164291923058508,0.0921995843181821,0.6140013969689336,0.29963447474425525
13,"[0.89426, 0.523491, 0.766381, 0.36787]",1.8038977269952383,9.359456690704107,"[0.622331, 0.254847]",0.2995515546856168,9.359456690704107,9.659008245389725,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.396964, 0.227361]",9.659008245389725,11.21689756862756,0.0,0.0,0.0,0.27658566899469716,0.07944987425246006,0.04130580951126919,0.17562716844952114,0.039199697947867415,0.022771659732341777,0.06381266480789374,0.07923903232787666,0.0706268133867553,0.04473837122309708,0.4677080851725965,0.11866833888886442,0.03923770887452896,0.08510730860139887,0.6200196039909851,0.27658566899469716
14,"[0.459586, 0.9651]",0.5266880691833199,9.886144759887427,"[0.112029, 0.444427]",0.0967988585198689,9.886144759887427,9.982943618407296,,0.0,0.0,,0.0,0.0,"[0.787794, 0.393548]",9.982943618407296,14.59200440267679,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.25682954978079026,0.13402222062407204,0.038355394546178534,0.16308237070312678,0.03639971952301974,0.023231759331202424,0.11881864201382664,0.07357910144731404,0.06558204100198707,0.05771704546233874,0.45804333068741016,0.146201094054178,0.03643501538349118,0.08099434586663336,0.6343383868887372,0.25682954978079026
15,"[0.25892, 0.888797, 0.802199, 0.371742, 0.740903, 0.495846]",1.643310908777612,11.52945566866504,"[0.598087, 0.396893]",0.2881592035882038,11.52945566866504,11.817614872253245,,0.0,0.0,"[0.478884, 0.844688]",11.817614872253245,13.934177849887973,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.23970757979540422,0.17508107670585676,0.03579836824309997,0.15221021265625165,0.03397307155481843,0.02168297537578893,0.15984709932570731,0.0686738280174931,0.061209904935187937,0.14121499944064023,0.4275071086415828,0.1961258596729883,0.03400601435792509,0.07833183878010996,0.6569837995407399,0.23970757979540422
16,"[0.35886, 0.303056]",0.32369308215373555,11.853148750818775,"[0.752924, 0.894088]",0.3732436956545879,11.853148750818775,12.226392446473364,,0.0,0.0,,0.0,0.0,,0.0,0.0,[0.25503],12.226392446473364,12.307787640911297,,0.0,0.0,0.0,0.0,0.0,0.22472585605819145,0.17928435882326513,0.03356097022790622,0.14269707436523593,0.031849754582642276,0.020327789414802122,0.1498566556178506,0.06438171376639978,0.05738428587673869,0.2628516056708766,0.4020223342452113,0.2640353454096096,0.03188063846055478,0.07343609885635309,0.640070866878015,0.22472585605819145
17,"[0.849386, 0.363354, 0.485978, 0.862861]",0.5924425512219543,12.445591302040729,"[0.166807, 0.672049]",0.12082582682323437,12.445591302040729,12.566417128863963,"[0.935823, 0.709311, 0.41882, 0.798195]",12.566417128863963,14.170946307833907,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.21150668805476844,0.1858689466418221,0.031586795508617614,0.1343031288143397,0.03786609471274183,0.01913203709628435,0.1420121522621495,0.1373785703380733,0.07082520894560702,0.4096916218582369,0.3824193218658773,0.3838298443923257,0.030005306786404496,0.06911632833539115,0.7250909263475264,0.21150668805476844
18,"[0.67887, 0.165551]",1.301218415977185,13.746809718017914,"[0.62114, 0.391663]",0.2989796198428323,13.746809718017914,14.045789337860747,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.517361, 0.412375]",14.045789337860747,16.506110176150674,0.0,0.0,0.0,0.19975631649617018,0.17554289405060974,0.02983197353591664,0.13340703044871235,0.03576242278425617,0.018069146146490776,0.13412258824758563,0.20540120316385435,0.08459383905390132,0.407840532384167,0.3811698464455082,0.5302784016654056,0.028338345298270912,0.0652765323167583,0.7839890884584395,0.19975631649617018
19,"[0.751982, 0.608594, 0.836159, 0.210799]",2.305423460770681,16.052233178788594,"[0.111208, 0.204006]",0.0964097159424225,16.052233178788594,16.148642894731015,,0.0,0.0,,0.0,0.0,,0.0,0.0,[0.810154],16.148642894731015,21.874982222255277,,0.0,0.0,0.0,0.0,0.0,0.1892428261542665,0.16630379436373555,0.035042563369477926,0.12638560779351696,0.03388019000613742,0.02597589095782873,0.12706350465560745,0.28245174362918724,0.08014153173527493,0.4439141435262705,0.40169294240888764,0.6837997538074609,0.02684685344046718,0.061840925352718394,0.8051733355023017,0.1892428261542665
20,"[0.669763, 0.116981]",1.256485077665053,17.30871825645365,"[0.972794, 0.721607, 0.469842, 0.983843]",0.2344306176349129,17.30871825645365,17.543148874088562,,0.0,0.0,"[0.62848, 0.20715]",17.543148874088562,20.959938286581497,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.17978068484655316,0.1758946149349752,0.03329043520100403,0.12589533776280656,0.03218618050583055,0.024677096409937295,0.12071032942282707,0.39080527223315026,0.07613445514851118,0.5103910970187422,0.38160829528844326,0.8175054287034642,0.025504510768443824,0.05874887908508247,0.8202821714751345,0.17978068484655316
21,"[0.14997, 0.166014]",0.07552807255685066,17.384246329010498,"[0.360302, 0.34652]",0.19347739853712062,17.543148874088562,17.73662627262568,"[0.265196, 0.532106]",17.73662627262568,18.554190171621812,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.1589025450780639,0.0,0.1589025450780639,0.17878648771472033,0.1675186808904526,0.031705176381908604,0.12122706316795999,0.030653505243648144,0.02350199658089266,0.11496221849793054,0.4144238555787936,0.09089666612159984,0.5164352950893397,0.3634364717032793,0.9143284338304847,0.02854966547805169,0.05595131341436426,0.7919636320443244,0.17878648771472033
22,"[0.231074, 0.681757]",0.14993295970090778,17.534179288711407,"[0.513341, 0.901582]",0.251680624972626,17.73662627262568,17.988306897598306,,0.0,0.0,,0.0,0.0,"[0.667473, 0.58022]",17.988306897598306,21.473683212618358,,0.0,0.0,,0.0,0.0,0.20244698391427463,0.0,0.20244698391427463,0.17986196481470007,0.16452384541218526,0.030264032000912756,0.1157167421148709,0.029260164096209594,0.037660762436513846,0.10973666311166097,0.4441338214389962,0.10536653570296294,0.5104279907807507,0.34691663208040296,1.0298708838389112,0.027251953410867523,0.05340807189552952,0.7559652851332188,0.17986196481470007
